id,name,racing_chair,day_chair,off_road_chair,handbike,frame_runner,walking_frame,crutches,walking_stick
604,Diamond Creek parkrun,25,40,85,35,70,25,75,80
550,Didcot parkrun,30,40,85,50,70,10,60,60
1982,Dietenbach parkrun,65,60,65,50,75,60,75,85
2523,Diglis Fields junior parkrun,0,0,40,0,0,0,0,5
2427,Dinton Pastures junior parkrun,0,0,25,0,0,0,0,0
1506,Dinton Pastures parkrun,0,0,15,0,0,0,0,0
1532,"Dishley parkrun, Loughborough",0,0,30,0,0,0,0,0
2407,Dixon Field parkrun,0,0,50,0,0,0,0,0
2529,Dlinza Forest parkrun,0,0,65,5,10,0,20,35
2353,Dodder Valley parkrun,40,40,55,35,65,45,60,60
1933,Doddington Hall parkrun,60,60,75,50,90,65,80,85
1061,Dolgellau parkrun,30,50,100,55,75,35,70,65
1247,Dolls Point parkrun,0,10,70,15,25,0,20,30
1005,Donabate parkrun,0,0,25,0,5,0,20,40
2153,Donaupark parkrun,65,60,65,50,75,75,80,85
2232,Donauradweg parkrun,65,60,65,50,75,75,80,85
2103,Dorset Recreation Reserve parkrun,0,0,55,0,5,0,15,30
2457,Dover Waterfront parkrun,30,30,55,25,55,25,50,60
1976,Dowds Farm junior parkrun,0,0,35,0,0,0,15,20
2211,Downham Market Academy parkrun,0,5,80,15,35,0,40,45
1794,Downsview parkrun,5,20,60,15,45,10,30,35
2736,Drage Reserve parkrun,0,0,0,0,0,0,0,20
2089,Dreiländergarten parkrun,65,60,65,50,75,75,80,85
2460,Dromleena Lawn junior parkrun,0,0,50,0,0,0,0,0
1490,Drumblade parkrun,5,20,70,25,30,5,50,55
1127,Drumchapel parkrun,0,0,50,30,10,0,10,15
1788,Drumpellier Country parkrun,0,20,80,25,40,0,50,50
1942,Drumpellier junior parkrun,0,0,35,0,10,0,5,20
754,Druridge Bay parkrun,0,0,45,0,0,0,10,20
877,Dubbo parkrun,0,0,55,0,0,0,0,0
200,Dudley parkrun,0,0,10,0,0,0,0,0
1597,Duffins Trail parkrun,15,25,90,40,60,5,60,65
1517,"Duikersdrift parkrun, Tulbagh",0,0,0,0,0,0,0,0
1829,Dukeries junior parkrun,0,0,30,0,0,0,5,15
1260,Dullstroom parkrun,0,0,80,15,15,0,20,30
1787,Duloch junior parkrun,0,0,40,0,0,0,0,15
400,Dulwich parkrun,75,80,95,75,100,90,90,85
359,Dumfries junior parkrun,0,0,35,0,0,0,0,0
2052,Dundalk IT junior parkrun,25,25,45,15,45,35,40,45
949,Dundalk parkrun,0,5,45,10,10,0,30,35
641,Dunedin parkrun,0,0,25,5,0,0,15,20
955,Dunfermline parkrun,0,5,55,5,20,0,15,30
1552,Dungannon Park parkrun,0,10,75,15,20,0,50,55
1083,Dungloe parkrun,0,0,5,0,0,0,15,35
2228,Dunleath Playing Fields parkrun,35,35,85,55,85,10,70,65
1666,Dunstable Downs parkrun,0,0,65,5,10,0,30,40
1577,Durban Point parkrun,20,20,50,15,30,15,20,35
947,Durbanville parkrun,0,5,55,15,25,0,20,30
398,Durham City junior parkrun,0,0,45,0,15,0,40,50
555,Durham NC parkrun,0,0,35,0,0,0,0,0
311,Durham parkrun,30,45,95,45,95,35,85,85
2234,Durlston Country Park parkrun,0,0,50,0,0,0,0,0
484,Dusi parkrun,0,0,35,0,0,0,0,10
346,Duthie junior parkrun,0,0,0,0,0,0,0,0
659,Eagan parkrun,50,60,100,70,95,60,85,75
1634,East Brighton parkrun,5,20,70,25,45,0,40,45
2170,East Coast Brewery parkrun,0,0,30,0,0,0,0,0
784,East Coast Park parkrun,100,100,100,90,100,100,100,100
1466,"East End parkrun, New Plymouth",25,30,65,25,50,20,45,55
558,East Grinstead parkrun,0,0,0,0,0,0,0,0
2823,East Holmes Field parkrun,0,0,40,0,0,0,0,0
2735,East Otago High School parkrun,0,0,60,10,20,0,35,40
1885,East Park parkrun,45,55,80,50,90,55,85,80
1309,East Richmond parkrun,30,40,75,40,60,35,65,70
1382,Eastbourne junior parkrun,0,0,40,0,0,0,0,0
133,Eastbourne parkrun,20,40,100,40,85,25,85,85
1527,Eastern Gardens parkrun,0,0,25,0,0,0,0,0
2406,"Eastern Trail parkrun, Biddeford",0,0,35,0,0,0,0,0
230,Eastleigh parkrun,55,60,85,65,95,60,85,70
890,Eastney junior parkrun,25,30,55,25,45,40,35,35
218,Eastville junior parkrun,0,5,55,5,25,0,30,35
379,Eastville parkrun,5,15,60,15,45,0,45,55
908,Eaton junior parkrun,45,40,55,30,70,65,55,55
2478,Ebenberg parkrun,65,60,65,50,75,75,80,85
417,Ebotse parkrun,0,0,45,0,0,0,0,20
2104,Ecco Ripley parkrun,50,45,75,50,80,50,60,65
1233,Echuca Moama parkrun,90,75,70,65,100,100,85,85
382,"Ecos parkrun, Ballymena",0,0,70,0,10,0,15,25
2331,Ed Austin Regional parkrun,100,100,100,100,100,100,100,100
349,Eden Project parkrun,0,15,65,15,40,0,50,55
2239,Edenbrook Country parkrun,0,0,45,0,0,0,5,20
1544,Edenvale parkrun,20,25,60,20,45,15,50,60
2493,Edgbaston Reservoir junior parkrun,0,0,0,0,0,0,0,5
1992,Edgbaston Reservoir parkrun,0,10,45,10,20,0,55,65
1945,Edinburgh Oval parkrun,85,75,70,60,100,95,85,90
122,Edinburgh parkrun,0,0,0,0,0,0,0,0
1428,Edithburgh parkrun,10,15,60,15,40,10,35,45
2144,Edwin Carolan Community parkrun,0,0,55,0,0,0,15,25
2733,Egham Orbit parkrun,0,5,65,15,35,0,30,35
261,Eglinton parkrun,0,10,80,15,30,0,40,50
2160,Egweni River Lodge parkrun,0,0,70,0,0,0,0,0
2539,Ehrenbreitstein parkrun,65,60,65,50,75,75,80,85
2753,Eildon Pondage parkrun,10,30,80,30,40,10,60,70
2248,Ekebergsletta parkrun,50,55,85,60,85,60,75,70
2031,Elder Park junior parkrun,45,40,55,30,70,65,55,55
2262,Elder Park parkrun,55,55,75,50,90,70,70,70
2191,Eldorado Park parkrun,35,30,45,25,40,50,55,60
1082,Elgin parkrun,55,65,90,60,90,65,80,80
844,Ellesmere Port parkrun,0,0,85,5,20,0,35,45
2241,Elliott Heads Beach parkrun,5,10,60,15,30,0,25,35
992,Ellon parkrun,0,0,70,0,50,0,65,70
1073,Eltham junior parkrun,40,45,70,40,60,50,55,55
2186,Ely Country junior parkrun,0,0,55,0,0,0,0,5
2694,Emerald Lake parkrun,25,40,90,40,70,20,80,85
2612,Emerald Resort parkrun,0,5,85,15,20,0,40,50
618,Emerald parkrun,0,20,80,25,20,0,40,50
2419,Emmerwiesen parkrun,65,60,65,50,75,75,80,85
177,Endcliffe parkrun,0,0,45,0,5,0,5,20
1975,Enfield Town junior parkrun,20,25,60,20,60,35,50,50
2379,Ennerdale Stadium parkrun,0,10,65,10,35,0,45,55
524,Enniskillen parkrun,0,0,95,0,0,0,35,45
1745,Eramosa River Trail parkrun,0,0,90,0,0,0,20,35
1118,Erddig parkrun,0,0,0,0,0,0,0,0
1259,Ernest Ullmann parkrun,0,0,60,0,0,0,15,20
1080,Erris parkrun,0,0,50,0,0,0,0,0
2345,Erskine Waterfront parkrun,0,10,70,15,25,0,45,55
257,Esbjerg parkrun,0,0,10,0,0,0,0,5
2578,Esperance Foreshore parkrun,85,75,75,65,100,90,90,95
1326,Etna parkrun,20,15,45,15,25,5,25,40
1469,Euroa parkrun,0,0,60,0,0,0,15,30
2734,Europapark parkrun,65,60,65,50,75,75,80,85
2324,Evergreen parkrun,0,0,40,0,0,0,0,0
362,Evesham junior parkrun,0,0,35,0,0,0,0,0
910,Evesham parkrun,0,0,30,0,0,0,10,20
802,Exeter Riverside parkrun,0,0,15,0,0,0,0,0
1340,Exmouth parkrun,0,0,30,0,20,0,15,30
2332,Exploration Place parkrun,45,45,65,40,70,45,65,70
2300,Eyemouth Primary Playing Fields junior parkrun,0,0,45,0,0,0,0,5
2002,Eynesbury Heritage Trail junior parkrun,0,0,30,0,0,0,5,20
1268,Fairview parkrun,10,15,45,15,35,10,30,35
1057,Falcarragh parkrun,0,10,55,15,15,0,30,35
2567,Falinge Park junior parkrun,0,0,40,0,10,0,10,15
286,Falkirk parkrun,0,0,80,0,0,0,15,25
408,"Falls parkrun, Belfast",90,80,85,75,100,80,95,95
1103,Fareham parkrun,0,0,10,0,0,0,0,0
1398,Farfalle parkrun,0,0,20,0,0,0,0,10
2842,Farm Pond parkrun,0,15,75,20,25,0,55,55
1978,Faskally Forest parkrun,0,0,35,0,0,0,10,15
1001,Father Collins parkrun,15,30,60,30,70,40,75,70
2064,Faversham Recreation Ground junior parkrun,0,0,0,0,0,0,0,0
1175,Favorita parkrun,0,0,20,0,0,0,0,10
2763,FeldyRoo Fitness Trail parkrun,0,5,90,20,30,0,50,50
1804,Felixstowe Prom junior parkrun,20,20,45,10,40,25,35,45
1419,Felixstowe parkrun,25,30,65,25,50,20,45,55
840,"Fell Foot parkrun, Newby Bridge",0,0,0,0,0,0,0,0
2515,Fenit Greenway parkrun,30,35,75,35,50,10,50,60
351,Ferry Meadows parkrun,0,0,0,0,0,0,0,0
1835,Ferryvale parkrun,20,25,60,25,45,10,45,55
1611,Festningen parkrun,30,30,65,40,50,10,50,55
2303,Fethard Town parkrun,40,40,55,35,65,45,60,60
2618,Fethard junior parkrun,0,0,25,0,5,0,5,20
1675,Ficksburg parkrun,0,0,60,0,0,0,10,25
2164,Fife Cycle Park junior parkrun,0,0,60,0,15,0,30,35
2516,Fig Tree parkrun,0,20,100,35,45,0,60,65
2227,Figges Marsh junior parkrun,45,40,55,35,65,65,50,45
528,Fingal Bay parkrun,0,5,55,5,20,0,15,30
120,Finsbury parkrun,35,50,90,50,80,40,70,70
1630,Fire Service College parkrun,0,0,50,0,0,0,0,0
661,Fish Hoek parkrun,0,0,40,0,0,0,0,0
2756,Fitzmaurice Park parkrun,10,25,85,40,45,0,55,55
2492,Five Arches parkrun,25,35,80,35,75,30,60,65
631,Flatts Lane parkrun,0,0,0,0,0,0,0,0
1757,Flaxmere parkrun,45,50,60,45,55,55,65,65
1510,Fleetwood Promenade parkrun,80,75,85,65,100,95,95,95
2124,Flegg High parkrun,0,20,85,25,40,0,60,65
